Lot Area,Gr Liv Area,Garage Area,SalePrice
31770,1656,528.0,215000
11622,896,730.0,105000
14267,1329,312.0,172000
11160,2110,522.0,244000
13830,1629,482.0,189900
9978,1604,470.0,195500
4920,1338,582.0,213500
5005,1280,506.0,191500
5389,1616,608.0,236500
7500,1804,442.0,189000
10000,1655,440.0,175900
7980,1187,420.0,185000
8402,1465,393.0,180400
10176,1341,506.0,171500
6820,1502,528.0,212000
53504,3279,841.0,538000
12134,1752,492.0,164000
11394,1856,834.0,394432
19138,864,400.0,141000
13175,2073,500.0,210000
11751,1844,546.0,190000
10625,1173,528.0,170000
7500,1674,663.0,216000
11241,1004,480.0,149000
12537,1078,500.0,149900
8450,1056,304.0,142000
8400,882,525.0,126000
10500,864,0.0,115000
5858,1337,511.0,184000
1680,987,264.0,96000
1680,1092,320.0,105500
1680,1092,264.0,88000
4043,1069,440.0,127500
2280,1456,440.0,149900
2280,836,308.0,120000
2280,1456,440.0,146000
12858,2334,751.0,376162
11478,1704,772.0,306000
10159,1940,606.0,395192
12883,1544,868.0,290941
12182,1541,532.0,220000
11520,1698,730.0,275000
14122,1822,678.0,259000
10171,1535,532.0,214000
12919,2364,820.0,611657
6371,1358,484.0,224000
14300,2696,958.0,500000
13650,2250,756.0,320000
7658,1752,576.0,319900
7132,1370,484.0,205000
2628,1626,474.0,175500
18494,1324,430.0,199500
3203,1145,437.0,160000
3182,1269,430.0,192000
13300,1374,400.0,184500
7851,1960,440.0,216500
8577,1733,433.0,185088
7750,1430,400.0,180000
9505,2035,434.0,222500
14774,2599,779.0,333168
17433,2475,962.0,355000
10593,1720,527.0,260400
12256,2622,712.0,325000
11764,2270,671.0,290000
16770,1839,486.0,221000
14720,3238,666.0,410000
8987,1595,880.0,221500
9215,1218,676.0,204500
8640,1547,614.0,215200
9000,1566,750.0,262500
12552,1947,678.0,254900
10440,1468,528.0,271500
10142,2084,618.0,233000
11920,1659,484.0,181000
8880,2110,463.0,205000
8012,923,264.0,143000
11218,1845,462.0,189000
7892,918,264.0,99500
7175,752,264.0,125000
9453,1744,457.0,194500
9672,1097,480.0,152000
8400,1564,476.0,171000
9800,1012,429.0,67500
8930,1902,539.0,112000
11782,1155,576.0,148000
8450,894,336.0,138500
9819,900,280.0,122000
7500,1040,308.0,133000
6897,1040,260.0,127000
15410,1494,461.0,169000
10186,1923,564.0,190000
13143,2349,762.0,362500
11134,2225,713.0,285000
4835,1488,506.0,260000
3515,1680,588.0,190000
3215,1200,480.0,155000
3182,1200,480.0,151000
2544,1200,480.0,149500
2544,1236,480.0,152000
4403,1478,484.0,222000
2117,1573,440.0,177500
2980,1512,440.0,177000
2572,1416,484.0,155000
2403,1080,496.0,147110
12853,1418,852.0,267916
7379,1848,592.0,254000
4420,788,484.0,155000
3880,1226,484.0,206000
13517,1479,475.0,130500
8000,1492,596.0,230000
10456,1829,535.0,218500
10791,2495,660.0,243500
10603,1610,480.0,205000
18837,1891,678.0,212500
10421,1714,496.0,196500
9360,1381,676.0,197500
9600,1645,441.0,171000
9600,1232,490.0,142250
9790,1328,528.0,143000
9320,1225,0.0,128950
9900,1209,504.0,159000
9680,1510,517.0,178900
10600,1775,480.0,136300
14112,1152,484.0,180500
8800,1054,480.0,137500
13260,1728,0.0,84900
9717,1078,240.0,142125
9724,2461,400.0,197600
17360,1556,470.0,172500
7207,858,0.0,116500
5350,1306,0.0,76500
9920,1063,280.0,128000
9600,1520,364.0,153000
7800,1268,244.0,132000
11380,1128,315.0,178000
11600,2274,480.0,154300
19900,2207,576.0,180000
16492,1888,578.0,190000
8267,1604,576.0,135000
8197,1480,620.0,214000
8050,1143,308.0,136000
10552,1700,447.0,165500
8400,1314,294.0,145000
8760,1194,312.0,148000
12160,1188,531.0,142000
9300,1264,461.0,167500
10725,1206,312.0,108538
10032,1580,440.0,159500
8382,1337,263.0,108000
10950,1064,318.0,135000
10895,972,305.0,122500
13587,988,264.0,119000
7922,1057,246.0,109000
7898,985,676.0,105000
7200,827,392.0,107500
10200,1086,490.0,144900
5868,936,308.0,129000
17503,1458,330.0,97500
6979,1056,576.0,144000
9830,1287,576.0,162000
11275,2978,564.0,242000
8064,1224,280.0,132000
7500,1246,305.0,154000
8520,1385,720.0,166000
7200,900,576.0,134800
10000,1116,440.0,160000
7635,1175,484.0,148000
9760,1395,440.0,192000
7700,1839,442.0,155000
4800,1844,240.0,80400
8800,1140,0.0,96500
4485,936,0.0,109500
8960,1028,360.0,115000
5805,1347,551.0,143000
5790,1605,379.0,107400
4608,747,220.0,80000
7200,804,240.0,119000
5500,1316,484.0,130000
6900,1251,240.0,119000
11851,1633,240.0,129000
8239,1245,315.0,100000
9656,832,780.0,12789
8520,720,484.0,105900
9600,1566,288.0,150000
10800,1652,416.0,139000
9000,2268,624.0,240000
9045,2256,0.0,76500
7407,1236,923.0,149700
7740,1363,528.0,125500
11340,2290,560.0,122500
10560,1470,624.0,140750
5830,1612,363.0,128500
7793,2068,315.0,209500
5000,765,200.0,87000
6000,1132,240.0,134000
6000,1196,576.0,128000
6360,1453,240.0,132000
6000,1416,312.0,139900
6240,1040,624.0,123900
6240,1536,480.0,138400
6120,1068,288.0,109500
10300,1710,480.0,140000
8094,1962,572.0,149500
12900,1560,0.0,159900
3068,1324,180.0,122000
8472,816,516.0,110000
5600,1092,0.0,55000
7630,1812,672.0,140000
24090,2403,349.0,244400
15263,1675,365.0,173000
10632,1224,180.0,107500
9900,1392,0.0,100000
6001,919,231.0,95000
6449,1884,0.0,93369
6048,1680,450.0,114900
6342,1020,0.0,94000
10773,1832,0.0,136000
10778,1768,0.0,136500
11625,1039,504.0,131500
11341,1392,528.0,121500
8521,912,336.0,125000
8246,1060,270.0,154000
7800,892,416.0,137900
9364,1352,299.0,158000
7832,864,280.0,137250
7424,1373,591.0,160250
11227,1440,480.0,163000
11616,1386,440.0,158900
14000,2260,533.0,328000
20062,1483,690.0,270000
9259,756,440.0,85000
9600,1067,436.0,128000
23595,1524,586.0,260000
17082,1981,522.0,230000
18600,1610,480.0,124000
10625,835,366.0,83000
11479,1074,467.0,144500
9571,1144,596.0,129000
9350,1531,209.0,127000
9525,1172,366.0,128000
10420,1212,460.0,186000
17485,1508,572.0,308030
11200,1298,504.0,114000
11100,930,308.0,84900
9206,1732,476.0,178000
11980,1433,528.0,270000
12361,1802,1017.0,218000
9938,1949,574.0,236000
9069,996,564.0,147000
10475,1694,776.0,245350
6762,1208,632.0,206000
10402,1226,740.0,198900
7360,1222,615.0,187000
12376,3222,594.0,320000
14235,1445,484.0,138500
8816,1052,440.0,155000
11105,965,580.0,159000
9337,1692,513.0,191000
8750,1682,523.0,200500
15240,1026,308.0,150000
10900,1392,299.0,161750
10650,894,308.0,128200
7480,876,484.0,127000
10389,1978,850.0,318000
11423,1601,670.0,272000
9548,1829,613.0,237000
9375,2098,621.0,240000
12137,1661,598.0,224900
4435,848,420.0,143750
4426,848,420.0,143000
10635,1668,502.0,232000
8400,1484,606.0,213000
8773,1414,494.0,185500
8777,640,240.0,84900
8842,992,319.0,155891
9825,1664,0.0,100000
10044,1196,336.0,144000
11792,1120,480.0,64000
6305,1096,352.0,125200
7819,1117,672.0,107000
6410,960,0.0,90000
8546,1121,440.0,140000
8741,1487,220.0,113000
12180,924,280.0,80000
8562,1526,364.0,144500
4853,1296,260.0,104000
6858,1647,216.0,128000
8212,864,200.0,58500
5000,1691,308.0,127000
7890,856,399.0,126000
7200,2650,0.0,160000
9839,1666,0.0,100000
9638,2447,336.0,169000
10452,2133,312.0,257500
15600,2177,484.0,215000
9042,2340,252.0,266500
17500,1902,567.0,335000
19645,1652,473.0,203135
3907,1034,598.0,185000
3907,1191,531.0,162500
15602,1801,484.0,289000
5436,1154,240.0,125500
8154,540,200.0,82000
9140,1107,625.0,110000
7500,1128,528.0,68400
8712,1178,384.0,102776
8712,1044,504.0,55993
8712,952,330.0,50138
3811,1646,525.0,246000
11050,1916,741.0,254900
9620,1285,473.0,190000
9196,1560,573.0,201000
12328,1034,888.0,169900
12760,2048,776.0,170000
57200,1687,572.0,160000
11896,1346,660.0,220000
9803,1214,520.0,179781
9802,1444,400.0,174000
12003,1968,680.0,269500
11316,1894,510.0,214900
14191,1908,431.0,202900
13214,2018,746.0,378500
15300,1264,528.0,169000
10114,1430,624.0,173500
9400,1824,0.0,139000
11875,1344,686.0,166500
1974,1092,286.0,83500
2394,945,253.0,119500
2592,1112,336.0,85000
1476,1092,0.0,76000
1491,630,0.0,75500
1900,1092,0.0,88250
1890,1092,286.0,85500
6953,874,352.0,130000
26142,1188,312.0,157900
12887,833,495.0,149900
7700,2432,616.0,159000
10475,1274,576.0,136000
10544,1479,275.0,161000
9892,1803,482.0,285000
12961,1797,616.0,231000
13008,882,502.0,124500
10200,1434,528.0,157000
13860,2704,538.0,345000
10179,1608,470.0,189500
11792,2283,632.0,270000
8400,1628,390.0,189000
14892,1746,758.0,377500
8530,1474,400.0,168500
7296,2522,564.0,375000
5664,1659,499.0,278000
7380,1478,495.0,240000
8013,1734,528.0,239500
8923,1382,396.0,177500
10141,1718,427.0,185000
7500,1636,440.0,191000
7837,1571,380.0,178000
9765,1470,420.0,185000
8803,1516,409.0,181316
7250,1190,430.0,166000
9636,1593,389.0,178000
8125,1481,343.0,174000
9248,1167,400.0,173000
10762,1983,490.0,225000
11851,1442,500.0,180500
5814,1360,565.0,187500
17423,2234,1166.0,501837
11844,2046,834.0,372500
16158,1530,430.0,260000
11900,1934,567.0,185000
13005,2353,484.0,260000
17043,1586,435.0,181000
11900,1411,544.0,82500
16635,1602,529.0,215000
13250,2050,529.0,154000
10928,1671,484.0,200000
12388,2673,441.0,249000
14115,1472,588.0,187500
11088,1707,479.0,184000
9600,2524,542.0,278000
11880,1601,478.0,157000
10400,1370,479.0,152000
10304,1868,484.0,197500
7000,1884,581.0,240900
8004,1935,552.0,263435
7500,1874,588.0,220000
8470,1811,565.0,235000
9373,1621,478.0,213000
10140,1116,528.0,167900
11050,1193,506.0,158000
10140,1350,478.0,165000
10448,2119,583.0,158000
9000,1792,0.0,136000
8750,1002,902.0,148500
7930,1026,440.0,156000
7830,1180,477.0,128000
8510,1050,336.0,143000
7038,864,576.0,76500
6960,864,660.0,120500
8120,864,463.0,124500
10500,864,576.0,97000
9000,864,576.0,130000
1680,987,264.0,111000
2368,1365,440.0,125000
1680,1302,280.0,112000
1680,987,288.0,97000
1680,987,264.0,118000
1680,1302,264.0,119500
4928,958,440.0,143750
2308,1548,440.0,146000
2280,1456,440.0,148500
2280,1055,440.0,123000
2308,1322,440.0,147000
2349,1456,440.0,137900
2364,1548,440.0,147000
2289,1441,440.0,148500
2364,1456,440.0,138000
2104,836,345.0,128500
7150,892,288.0,100000
10710,1120,656.0,148800
12456,1718,786.0,337500
14257,2772,754.0,462000
13518,3140,820.0,485000
15431,2402,672.0,555000
13173,1652,840.0,325000
14230,1600,890.0,256300
12704,2042,1390.0,253293
12350,2690,864.0,398800
11308,2184,836.0,335000
12350,2020,896.0,404000
12220,2020,900.0,402861
13478,2296,842.0,451950
13693,2674,762.0,610000
13891,2822,1020.0,582933
11578,1736,834.0,360000
16870,1782,932.0,296000
23303,2520,640.0,409900
11146,1717,908.0,255500
10367,1743,927.0,335000
9591,1713,856.0,274900
10872,1531,700.0,300000
13514,1808,850.0,324000
8834,2224,738.0,350000
11362,1836,862.0,280000
10655,1629,880.0,284000
12878,1760,583.0,269500
9541,1502,644.0,233170
13472,2392,968.0,386250
15274,2452,886.0,445000
13262,2400,730.0,290000
9658,1606,871.0,255900
6904,1358,484.0,213000
5381,1306,624.0,196000
5122,1306,624.0,184500
10307,1358,484.0,212500
5001,1314,626.0,230000
14836,2492,949.0,552000
15262,2200,685.0,382500
7390,1884,649.0,320000
6472,1456,539.0,248500
16770,1712,701.0,286500
6240,1324,550.0,254000
3480,1405,478.0,173000
2268,1626,474.0,173000
10928,1456,390.0,184000
8918,1490,392.0,167800
12589,1484,390.0,174000
11911,1560,400.0,174000
3684,1555,660.0,174000
3635,1569,660.0,175900
3182,1555,430.0,192500
3182,1504,457.0,181000
3182,1220,397.0,180000
3182,1145,397.0,160200
7795,1432,432.0,188500
8068,2267,390.0,200000
9434,1374,400.0,170000
7984,1630,436.0,189500
7750,1419,527.0,184100
10125,1594,434.0,195500
8965,1489,400.0,192000
8174,1342,393.0,178000
5063,1314,626.0,207500
8795,2256,554.0,236000
12891,2004,644.0,257500
12224,2054,390.0,244000
9734,1374,400.0,167000
8123,1800,463.0,179000
8433,1514,394.0,190000
7750,1430,400.0,156000
15896,2312,658.0,245000
24682,1675,502.0,181000
8755,2060,390.0,214000
7848,1430,410.0,168000
9430,2365,856.0,337000
15138,2794,810.0,403000
12720,2687,810.0,327000
16545,2450,1069.0,340000
12203,2612,676.0,336000
10208,2344,889.0,265000
10750,2063,815.0,315000
9900,2646,656.0,260000
9085,2061,647.0,260000
11692,2232,623.0,263550
46589,2448,711.0,402000
29959,1850,467.0,248000
9612,1468,898.0,244600
11194,1696,972.0,275000
10206,1658,726.0,257500
9262,1578,840.0,287090
10130,1702,844.0,275500
9139,1432,492.0,245000
9675,1971,689.0,253000
11128,2490,795.0,468000
8640,1852,644.0,252678
9000,1590,676.0,210000
7862,1218,676.0,208300
7993,1436,529.0,225000
8640,1314,552.0,229456
8640,1402,625.0,229800
12606,1530,984.0,250000
9187,1766,478.0,370878
7500,1448,692.0,238500
11003,2007,812.0,310000
10603,1795,782.0,270000
10574,1953,1043.0,252000
8125,1550,438.0,241000
8125,1836,517.0,264500
10625,1662,711.0,291000
9375,2094,615.0,263000
7500,1221,400.0,185000
8736,1553,588.0,234500
8127,1653,628.0,209000
9605,1218,576.0,159000
7500,1141,484.0,152000
7500,1158,0.0,143500
10628,1812,478.0,193000
10141,1512,845.0,203000
10083,1200,555.0,184900
13072,1114,576.0,159000
13072,1114,0.0,142000
12450,1114,576.0,153000
7328,1450,788.0,224243
11492,2122,559.0,220000
10994,1844,620.0,257000
8529,1434,527.0,189000
7703,1730,528.0,171500
10762,1217,288.0,120000
7175,1332,542.0,145000
9109,1540,495.0,184000
10274,1400,465.0,162000
8250,1882,612.0,160000
8400,841,294.0,82000
9000,784,360.0,76000
9750,980,400.0,110000
7064,980,484.0,135000
8499,864,732.0,141000
9079,864,440.0,122000
9316,1020,288.0,124100
7791,912,300.0,129000
10000,1144,264.0,131400
8281,864,360.0,62383
7150,912,252.0,123000
15676,2014,864.0,275000
11949,1755,524.0,235000
2880,3005,704.0,280750
3951,1224,528.0,164500
3000,1224,528.0,173733
3830,1726,561.0,222000
4217,1256,641.0,195000
3230,1471,440.0,172500
2998,1512,440.0,180000
3768,1452,506.0,156000
2645,1739,480.0,172500
14694,1694,642.0,318750
3782,1226,484.0,211500
15417,1740,540.0,241600
9600,2499,527.0,180500
9991,1620,490.0,150000
11700,1556,441.0,154000
11717,1442,615.0,185000
9156,1489,462.0,185750
10382,2090,484.0,200000
12732,2067,784.0,206000
12936,1395,497.0,162000
10400,2640,515.0,256900
17871,1724,480.0,197900
9600,1336,502.0,163000
9000,1216,336.0,113000
13774,2288,520.0,230000
9650,1334,630.0,167900
10140,1680,583.0,213250
8400,1665,528.0,227000
7130,864,312.0,130000
9600,1568,440.0,143000
9100,925,429.0,117500
9600,2061,498.0,168500
16500,1320,495.0,172500
9790,1342,457.0,161500
7436,894,396.0,141500
8125,864,308.0,118000
9100,864,300.0,127500
9450,1362,768.0,140000
13495,1728,576.0,177625
11475,1776,888.0,110000
10004,1516,472.0,167000
9350,1313,610.0,153000
10500,1292,520.0,145100
11000,1154,480.0,154000
8970,2140,549.0,177500
12095,1445,645.0,158000
9600,1041,270.0,124500
11475,1576,368.0,174500
9768,960,330.0,122000
5330,708,0.0,82500
7015,1203,352.0,110000
12160,1505,505.0,149500
9900,1691,550.0,175000
9600,1644,418.0,167000
9600,1050,338.0,128900
9600,1668,271.0,140000
9600,1113,264.0,147000
8944,1584,792.0,124000
10573,1453,530.0,187500
9500,1394,514.0,159000
14695,1567,542.0,256000
13600,1986,486.0,205000
13000,2142,509.0,193500
13560,1392,576.0,110000
12513,1738,368.0,104900
8760,1144,286.0,150000
8400,1478,442.0,156500
12285,1329,441.0,176000
9240,988,297.0,149500
9600,1632,338.0,139000
12400,1215,297.0,155000
8750,1202,304.0,120000
8750,1382,350.0,153000
10400,1200,294.0,144000
19296,1382,884.0,176000
8532,1297,498.0,153000
9482,1866,495.0,135000
8128,1062,297.0,131000
10634,1319,270.0,123000
13070,1112,480.0,126000
10434,1005,672.0,115000
14559,1363,288.0,164900
8480,793,240.0,113000
7626,1031,230.0,145500
9533,1210,616.0,102900
10615,1699,420.0,95000
11419,1527,410.0,152500
9600,1200,246.0,129900
8000,972,240.0,132000
5470,792,366.0,99900
10410,1656,180.0,135000
10800,1352,720.0,149000
8146,1039,281.0,114000
9022,792,240.0,109500
10230,1078,264.0,125000
10410,2377,528.0,142900
7200,1690,624.0,156500
5400,599,0.0,59000
5400,1374,338.0,105000
10800,846,576.0,106000
10800,725,320.0,78500
9671,2544,907.0,190000
10143,1380,364.0,154000
11500,1040,480.0,163000
11643,2634,968.0,200000
8010,951,480.0,143500
10454,1105,308.0,135000
8712,1306,756.0,153000
17600,1478,498.0,157500
9000,1142,384.0,113500
12144,1268,288.0,133000
8544,1040,400.0,92900
8064,1133,900.0,128500
7200,1040,420.0,90000
7200,1904,240.0,138000
7350,1041,294.0,128000
7560,1339,294.0,139000
7200,732,240.0,118900
8000,1183,288.0,138000
7931,1148,672.0,132500
10800,1461,384.0,133500
8064,1495,576.0,135000
7570,1806,483.0,144750
8604,941,564.0,145000
7936,1045,264.0,127000
6600,894,308.0,109500
3950,1224,210.0,115000
10440,1230,440.0,110000
4080,1378,162.0,128900
10307,1944,324.0,103500
5720,1131,200.0,66500
15660,1306,472.0,130000
9900,1464,0.0,129000
6406,1558,400.0,150000
6600,2372,432.0,107500
7627,1701,0.0,94550
7596,1960,400.0,124500
3378,1389,240.0,135000
10134,1447,0.0,103000
6000,936,576.0,93000
6000,1328,308.0,129500
6000,1387,256.0,93000
7404,861,288.0,80000
5925,612,308.0,45000
5925,968,0.0,37900
5784,886,273.0,91300
8520,792,287.0,99500
4456,1452,0.0,113000
9600,1510,720.0,87500
3500,1284,240.0,110000
8100,2138,360.0,106000
11700,2640,864.0,265979
8400,2007,357.0,160000
3600,1288,280.0,119000
17671,1742,424.0,168000
3300,816,0.0,58500
9000,1482,324.0,143000
7200,1022,280.0,85000
8820,1869,456.0,124900
5400,1480,207.0,119000
9720,1521,640.0,146500
7879,720,0.0,34900
9392,797,0.0,44000
21384,1576,528.0,223500
6615,1432,216.0,149000
7264,1548,672.0,205000
4960,1654,336.0,137000
8854,952,192.0,121000
6000,1324,240.0,128000
6000,1176,624.0,134900
6000,1348,216.0,117000
6000,1412,280.0,132500
6000,1142,320.0,93000
6000,904,180.0,119000
6911,1301,440.0,100000
6120,1539,576.0,141500
6120,1573,240.0,133000
6120,800,0.0,60000
6120,875,180.0,105000
6120,995,264.0,115000
6120,1582,250.0,150000
8635,1072,1184.0,126500
11888,2134,441.0,214500
11414,2019,532.0,167500
8094,1768,576.0,155000
2500,1826,164.0,155000
9928,1944,216.0,179900
5520,2229,0.0,104000
3000,2128,0.0,62500
6876,1930,316.0,149000
6240,1208,539.0,103000
5775,1427,379.0,123000
5852,1864,0.0,97500
5160,1666,384.0,135000
5160,892,0.0,70000
10320,1403,308.0,116000
4280,704,220.0,88750
10800,1200,0.0,179000
10800,1200,0.0,179000
10547,1152,252.0,159900
10020,904,0.0,61000
6629,1369,300.0,103600
9780,1112,226.0,63000
12886,1464,480.0,175000
8816,1121,480.0,139000
11184,1683,440.0,172500
11625,1052,668.0,113500
7800,899,288.0,130000
8014,1034,504.0,149900
7252,858,576.0,134900
8740,860,528.0,137000
11616,1092,288.0,139000
15400,1774,384.0,165000
15312,1138,480.0,148000
15584,2071,336.0,165000
9000,660,0.0,63900
11250,1788,304.0,161500
25095,1473,452.0,143000
17140,1229,284.0,135000
12342,861,539.0,82500
10708,1867,303.0,190000
13680,1733,452.0,139600
15635,1383,498.0,122000
9855,1689,480.0,127500
9571,1073,340.0,121500
9571,1276,350.0,60000
9350,1639,240.0,154400
9340,672,234.0,113000
7440,1089,252.0,125000
11500,845,290.0,84000
4235,1049,266.0,139500
11409,1716,281.0,131000
9060,1258,280.0,105000
9084,1510,296.0,108000
10778,1061,462.0,162000
19255,1338,576.0,156500
12327,2132,612.0,316600
14684,2196,701.0,271900
9317,1775,425.0,213000
10560,1879,473.0,239900
9828,2020,466.0,239500
26400,2016,576.0,131000
7018,1535,410.0,118964
7018,1224,528.0,153337
7018,2228,720.0,147983
7018,1535,400.0,118858
7018,1535,400.0,118858
7018,2240,528.0,142953
7040,1229,672.0,148325
7007,1513,400.0,113722
11855,2787,820.0,269500
7939,2787,820.0,269500
7976,2787,820.0,269500
10933,1680,1138.0,323262
10637,1718,826.0,297000
10226,1630,860.0,295493
10816,1720,846.0,332000
9178,1468,904.0,239900
10769,1768,578.0,212000
11422,1838,524.0,272500
11923,1800,702.0,239000
8814,1604,660.0,220000
6762,1290,662.0,200000
10324,1254,810.0,221800
7314,1232,632.0,194500
11645,1498,844.0,237000
11646,1422,440.0,173000
12800,1644,569.0,275000
16698,1759,525.0,233500
28698,2126,538.0,185000
12464,1040,576.0,152000
9757,990,440.0,143000
15426,1764,470.0,231500
10667,1661,550.0,212000
14753,1463,539.0,207000
10859,1097,672.0,145000
8072,990,480.0,138000
10400,1779,546.0,197900
10335,1501,577.0,204000
9017,1431,666.0,192000
8750,1772,492.0,200000
8935,1660,493.0,195000
9808,1573,544.0,227000
12420,1840,622.0,230000
16285,1430,605.0,187100
10739,1444,577.0,203000
11166,1492,608.0,201000
8430,1040,0.0,124000
16269,907,343.0,140000
6950,914,444.0,134900
8800,1040,484.0,150500
7000,864,336.0,136500
9286,1268,252.0,143500
15523,864,338.0,133500
7200,894,600.0,123000
7200,768,396.0,133900
8445,768,396.0,133000
11664,1611,1231.0,250000
12334,2184,570.0,254750
11838,1788,522.0,236500
11885,1872,531.0,261500
11050,2153,736.0,313000
8749,1725,550.0,198500
11250,1870,608.0,211000
15750,1513,521.0,220000
11883,1504,478.0,203000
12782,1828,523.0,279500
8750,1417,511.0,210000
9375,2034,645.0,219500
8750,1716,512.0,191000
9100,1212,573.0,178000
9750,1630,451.0,213000
4435,848,420.0,144000
4435,848,420.0,140000
10200,1602,810.0,293200
9313,1728,572.0,190000
8487,1500,570.0,190000
8633,1476,540.0,173500
11069,1396,440.0,170000
8777,1126,520.0,108000
9937,1486,480.0,167000
8877,816,288.0,100000
7301,1922,672.0,198500
7950,1426,440.0,159500
10682,1149,544.0,127000
7200,1125,352.0,125000
13286,1698,768.0,320000
3675,1072,525.0,145500
9405,698,0.0,118000
6410,876,320.0,85000
11767,1368,195.0,120000
8405,1529,240.0,98000
4060,864,0.0,99900
10206,944,528.0,82000
10926,1678,0.0,119900
11767,1560,313.0,103500
8926,960,288.0,112000
12354,1196,528.0,110000
8212,1298,256.0,122000
10998,1604,660.0,117000
6300,1268,250.0,160000
4500,1520,281.0,159434
8400,438,246.0,60000
9900,1489,240.0,139500
15863,3082,672.0,197000
5707,1242,180.0,105000
7804,1981,576.0,135000
8574,1232,440.0,147500
6171,1608,216.0,137450
7200,1135,576.0,155000
7558,1913,342.0,177000
6292,1477,216.0,145000
7155,1228,215.0,137000
10918,2080,282.0,234000
13680,1567,440.0,205000
7500,1494,213.0,177500
9600,1308,256.0,160000
14680,1273,307.0,155000
13360,964,432.0,163500
7681,1343,186.0,154900
8145,2480,400.0,205000
9100,1112,390.0,144800
12000,1564,234.0,174500
13339,1561,463.0,193000
15600,1523,295.0,158000
14000,1152,300.0,158500
17500,1906,576.0,224000
1733,1032,452.0,115000
1488,1229,462.0,137000
1612,1229,462.0,121000
1300,1229,462.0,124000
13607,1982,501.0,208000
17597,2365,551.0,315000
21695,1680,540.0,222000
10690,1344,468.0,147000
8660,2168,576.0,123000
6402,1192,189.0,78000
8470,1526,0.0,85000
10200,572,200.0,75000
3843,1648,482.0,230000
21780,810,280.0,57625
10125,2052,642.0,251000
12822,2149,670.0,239686
12118,1710,550.0,240000
12209,1961,560.0,215000
9750,926,351.0,156450
9360,1287,541.0,173000
10125,1734,539.0,126000
9947,1217,497.0,173000
11070,1595,672.0,152000
14375,1344,525.0,137500
215245,2036,513.0,375000
12898,1620,912.0,315500
13159,1692,650.0,224500
13438,2036,780.0,410000
14463,1641,885.0,316500
8925,1466,610.0,201000
11457,1412,576.0,175000
9839,2237,440.0,204000
14419,1479,578.0,213500
6853,1296,471.0,220000
9157,2014,486.0,170000
14601,1838,765.0,315000
12633,1978,920.0,425000
12518,1008,384.0,139500
21750,1771,336.0,115000
4500,1204,412.0,162000
4500,1224,402.0,165000
1596,988,297.0,91000
9858,874,288.0,130000
